Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
731,Arjun Kumar,CHATRA,CPI,1,10th Pass,"Rs 50,27,000  ~ 50 Lacs+","Rs 90,000  ~ 90 Thou+"
732,Arjun Kumar Maity,KANTHI,IND,2,12th Pass,,
733,Arjun Munda,KHUNTI (ST),BJP,1,Graduate Professional,"Rs 16,56,55,057  ~ 16 Crore+","Rs 2,42,92,905  ~ 2 Crore+"
734,Arjun Prajapati,CHATRA,IND,0,8th Pass,"Rs 68,85,000  ~ 68 Lacs+",Rs 0  ~
735,Arjun Prasad,ALMORA (SC),IND,0,8th Pass,,
736,Arjun Ram Meghwal,BIKANER (SC),BJP,0,Post Graduate,"Rs 3,76,54,863  ~ 3 Crore+",Rs 0  ~
737,Arjun Ray,SITAMARHI,RJD,0,Doctorate,"Rs 2,67,91,976  ~ 2 Crore+","Rs 15,00,000  ~ 15 Lacs+"
738,Arjun Singh,BARRACKPUR,BJP,93,12th Pass,,
739,Arjun Singh,GARHWAL,Akhil Bhartiya Parivar Party,0,Post Graduate,"Rs 2,72,73,084  ~ 2 Crore+",Rs 0  ~
740,Arjun Toppo,LOHARDAGA (ST),IND,0,12th Pass,"Rs 49,52,000  ~ 49 Lacs+","Rs 5,50,000  ~ 5 Lacs+"
741,Arjuna Charan Behera,JAGATSINGHPUR (SC),IND,0,Graduate,,
742,Arjunan,ALAPPUZHA,SUCI(C),0,Others,"Rs 36,46,958  ~ 36 Lacs+","Rs 1,60,000  ~ 1 Lacs+"
743,Arnab Roy,TRIPURA WEST,Republican Party of India (A),0,Graduate,"Rs 23,00,000  ~ 23 Lacs+",Rs 0  ~
744,Aroon Barooa,DARRANG-UDALGURI,Bharatheeya Jawan Kisan Party,0,Post Graduate,,
745,Aroori Ramesh,WARANGAL (SC),BJP,6,Post Graduate,"Rs 28,74,54,041  ~ 28 Crore+","Rs 46,03,631  ~ 46 Lacs+"
746,Arora Surinder Mohan,MUMBAI NORTH - WEST,Bharat Jan Aadhar Party,0,Graduate,"Rs 40,46,89,205  ~ 40 Crore+",Rs 0  ~
747,Arpan Deo Bhagat,LOHARDAGA (ST),IND,0,Post Graduate,,
748,Arpana Hans,KHUNTI (ST),Jharkhand Party,0,Graduate,"Rs 1,85,64,299  ~ 1 Crore+","Rs 49,79,601  ~ 49 Lacs+"
749,Arshad Ayub,RANCHI,IND,0,5th Pass,"Rs 38,25,000  ~ 38 Lacs+",Rs 0  ~
750,Arshad Warsi,RAMPUR,Minorities Democratic Party,6,Literate,,
751,Arsheed Ahmed Lone,ANANTNAG-RAJOURI,Jammu & Kashmir National Panthers Party (Bhim),0,12th Pass,Nil,Rs 0  ~
752,Arti Kumari,SARAN,IND,0,Graduate,"Rs 28,56,606  ~ 28 Lacs+","Rs 10,46,152  ~ 10 Lacs+"
753,Arttatrana Malik,JAJPUR (SC),IND,1,12th Pass,,
754,Arul Iniyan A,KALLAKURICHI,IND,0,Post Graduate,"Rs 13,00,950  ~ 13 Lacs+","Rs 66,600  ~ 66 Thou+"
755,Arulmani M,NAMAKKAL,IND,0,Others,"Rs 28,000  ~ 28 Thou+",Rs 0  ~
756,Arumuga Ac Kannan,ERODE,IND,0,5th Pass,,
757,Arumugam M,KRISHNAGIRI,Bharatiya Praja Aikyata Party,0,10th Pass,"Rs 12,51,000  ~ 12 Lacs+",Rs 0  ~
758,Arumugam R,DINDIGUL,IND,0,10th Pass,"Rs 34,45,000  ~ 34 Lacs+",Rs 0  ~
759,Arumugam. M,VILUPPURAM (SC),United Republican Party of India,0,8th Pass,,
760,Arumugam. M.,DHARMAPURI,IND,0,5th Pass,"Rs 38,14,307  ~ 38 Lacs+",Rs 0  ~
761,Arumugaswami M,TENKASI (SC),IND,0,Graduate,"Rs 50,00,000  ~ 50 Lacs+","Rs 2,00,000  ~ 2 Lacs+"
762,Arun Ankesh Syal,HAMIRPUR,Ekam Sanatan Bharat Dal,0,Graduate Professional,,
763,Arun Bharti,JAMUI (SC),Lok Janshakti Party(Ram Vilas),0,Post Graduate,"Rs 6,48,70,319  ~ 6 Crore+","Rs 3,12,04,393  ~ 3 Crore+"
764,Arun Bhaurao Niture,KALYAN,Rashtriya Kisan Bahujan Party,0,8th Pass,"Rs 6,67,20,397  ~ 6 Crore+","Rs 18,20,000  ~ 18 Lacs+"
765,Arun Chandra Handique,JORHAT,Ekam Sanatan Bharat Dal,0,10th Pass,,
766,Arun Das,PURNIA,BSP,0,12th Pass,"Rs 25,000  ~ 25 Thou+",Rs 0  ~
767,Arun Edathadan,CHALAKUDY,IND,0,12th Pass,"Rs 16,70,000  ~ 16 Lacs+","Rs 3,00,000  ~ 3 Lacs+"
768,Arun Govil,MEERUT,BJP,0,Graduate,,
769,Arun Joshi,DURG,IND,0,Others,"Rs 25,71,295  ~ 25 Lacs+","Rs 35,34,922  ~ 35 Lacs+"
770,Arun Kumar,SOUTH DELHI,IND,0,Post Graduate,"Rs 22,58,222  ~ 22 Lacs+","Rs 3,90,000  ~ 3 Lacs+"
771,Arun Kumar,FAIZABAD,IND,1,12th Pass,,
772,Arun Kumar,BEGUSARAI,IND,0,10th Pass,"Rs 4,10,62,000  ~ 4 Crore+","Rs 86,000  ~ 86 Thou+"
773,Arun Kumar,GODDA,Nyaydharmsabha,0,Graduate Professional,"Rs 19,800  ~ 19 Thou+",Rs 0  ~
774,Arun Kumar,JAHANABAD,BSP,1,Doctorate,,
775,Arun Kumar,KHADOOR SAHIB,IND,0,8th Pass,"Rs 9,14,143  ~ 9 Lacs+","Rs 16,568  ~ 16 Thou+"
776,Arun Kumar,GAYA (SC),IND,0,Graduate Professional,"Rs 1,30,20,000  ~ 1 Crore+",Rs 0  ~
777,Arun Kumar Bhaumik,TRIPURA WEST,SUCI(C),0,Graduate,,
778,Arun Kumar Mypathi,MAHABUBABAD (ST),All India Forward Bloc,3,Post Graduate,"Rs 1,000  ~ 1 Thou+",Rs 0  ~
779,Arun Kumar Pandey,PRATAPGARH,Hindustan Samaj Party,0,Post Graduate,"Rs 5,20,000  ~ 5 Lacs+",Rs 0  ~
780,Arun Kumar Raina,BARAMULLA,IND,0,12th Pass,,
781,Arun Kumar Sagar,SHAHJAHANPUR (SC),BJP,0,12th Pass,"Rs 5,83,17,453  ~ 5 Crore+","Rs 25,21,626  ~ 25 Lacs+"
782,Arun Kumar Sharma,JAMSHEDPUR,Bhartiya Azad Sena,1,12th Pass,"Rs 6,91,500  ~ 6 Lacs+","Rs 74,000  ~ 74 Thou+"
783,Arun Madhukar Kale,NASHIK,BSP,4,12th Pass,,
784,Arun Mahato,JAMSHEDPUR,IND,0,10th Pass,"Rs 37,43,767  ~ 37 Lacs+",Rs 0  ~
785,Arun Marik,GODDA,IND,0,10th Pass,"Rs 9,00,000  ~ 9 Lacs+",Rs 0  ~
786,Arun Nehru,PERAMBALUR,IND,0,Graduate Professional,,
787,Arun Nehru,PERAMBALUR,DMK,0,Post Graduate,"Rs 81,61,97,502  ~ 81 Crore+","Rs 19,13,95,432  ~ 19 Crore+"
788,Arun Prasad.A,BANGALORE SOUTH,BSP,0,12th Pass,"Rs 60,000  ~ 60 Thou+",Rs 0  ~
789,Arun Sarkar,JADAVPUR,IND,0,10th Pass,,
790,Arun Tiwari (Mintu),REWA,IND,1,Graduate,"Rs 27,27,006  ~ 27 Lacs+",Rs 0  ~
791,Arun Vaman Jadhav,KALYAN,IND,0,Graduate Professional,"Rs 28,28,106  ~ 28 Lacs+","Rs 14,00,000  ~ 14 Lacs+"
792,Arun Yashwantrao Bhagat,AMRAVATI (SC),IND,0,Post Graduate,,
793,Arun.S.Hirehal,BELLARY (ST),IND,0,Post Graduate,"Rs 1,49,85,000  ~ 1 Crore+",Rs 0  ~
794,Aruna Kanahalli,SHIMOGA,Uttama Prajaakeeya Party,0,10th Pass,"Rs 4,11,000  ~ 4 Lacs+","Rs 2,93,523  ~ 2 Lacs+"
795,Aruna Sri Murala,VISAKHAPATNAM,IND,0,12th Pass,,
796,Aruna Thallapally,KARIMNAGAR,Alliance of Democratic Reforms Party,0,Graduate,"Rs 30,20,000  ~ 30 Lacs+","Rs 4,19,000  ~ 4 Lacs+"
797,Aruna. D. K,MAHBUBNAGAR,BJP,6,12th Pass,"Rs 66,75,69,871  ~ 66 Crore+","Rs 1,61,32,436  ~ 1 Crore+"
798,Arunadevi R,THOOTHUKKUDI,IND,1,Graduate,,
799,Arunendra Narayan Pandey,REWA,IND,0,Graduate,"Rs 5,63,000  ~ 5 Lacs+",Rs 0  ~
800,Arunima Gautam,EAST DELHI,IND,0,Post Graduate,"Rs 1,21,691  ~ 1 Lacs+",Rs 0  ~
801,Arunima Pandey,KAISERGANJ,IND,0,Post Graduate,,
802,Arunima Pandey,GONDA,IND,0,Post Graduate,"Rs 4,29,14,976  ~ 4 Crore+","Rs 25,333  ~ 25 Thou+"
803,Arunkanth V,COIMBATORE,IND,0,Graduate,"Rs 21,65,000  ~ 21 Lacs+","Rs 8,00,000  ~ 8 Lacs+"
804,Arunkumar Hansda,JHARGRAM (ST),BSP,0,12th Pass,,
805,Arunuday Paulchowdhury,ULUBERIA,BJP,1,Graduate,"Rs 24,64,188  ~ 24 Lacs+","Rs 3,03,750  ~ 3 Lacs+"
806,Arup Chakraborty,BANKURA,AITC,0,Graduate Professional,"Rs 17,19,11,710  ~ 17 Crore+","Rs 6,56,85,037  ~ 6 Crore+"
807,Arup Kanti Digar,ARAMBAG (SC),BJP,0,Graduate,,
808,Arup Mohan Patnaik,PURI,BJD,0,Graduate Professional,"Rs 22,97,51,288  ~ 22 Crore+","Rs 71,75,000  ~ 71 Lacs+"
809,Arvind,ROHTAK,IND,0,12th Pass,"Rs 40,71,565  ~ 40 Lacs+","Rs 29,00,000  ~ 29 Lacs+"
810,Arvind Ashok Sanghela,KACHCHH (SC),Gujarat Sarva Samaj Party,0,Others,,
811,Arvind Dharmapuri,NIZAMABAD,BJP,22,Post Graduate,"Rs 1,09,90,20,273  ~ 109 Crore+","Rs 30,66,81,918  ~ 30 Crore+"
812,Arvind Ganpat Sawant,MUMBAI SOUTH,ShivSena (Uddhav Balasaheb Thackeray),1,Graduate,"Rs 5,04,85,191  ~ 5 Crore+",Rs 0  ~
813,Arvind Kachhap,SURGUJA (ST),IND,1,Post Graduate,,
814,Arvind Khanna,SANGRUR,BJP,2,Graduate,"Rs 27,05,54,843  ~ 27 Crore+","Rs 12,58,63,636  ~ 12 Crore+"
815,Arvind Kisanrao Kamble,AURANGABAD,Bahujan Republican Socialist Party,3,12th Pass,"Rs 5,70,000  ~ 5 Lacs+","Rs 1,25,000  ~ 1 Lacs+"
816,Arvind Kumar,BAHRAICH (SC),Bhartiya Awam Party (Rastriya),0,10th Pass,,
817,Arvind Kumar,JANJGIR-CHAMPA (SC),IND,0,12th Pass,"Rs 25,70,000  ~ 25 Lacs+","Rs 7,00,000  ~ 7 Lacs+"
818,Arvind Kumar Bharti,ROBERTSGANJ (SC),Rashtriya Samanta Dal,0,Graduate Professional,"Rs 69,02,965  ~ 69 Lacs+","Rs 10,99,000  ~ 10 Lacs+"
819,Arvind Kumar Chaudhary,MUZAFFARPUR,SUCI(C),0,10th Pass,,
820,Arvind Kumar Patel,CHANDAULI,Sardar Patel Siddhant Party,0,Graduate,"Rs 72,97,040  ~ 72 Lacs+","Rs 54,000  ~ 54 Thou+"
821,Arvind Kumar Sharma,ROHTAK,IND,0,Graduate,"Rs 25,73,637  ~ 25 Lacs+",Rs 0  ~
822,Arvind Kumar Srivastava,KANPUR,IND,2,Post Graduate,,
823,Arvind Narayan Sawant,MUMBAI SOUTH,IND,0,10th Pass,"Rs 43,13,000  ~ 43 Lacs+",Rs 0  ~
824,Arvind Sen,FAIZABAD,CPI,2,Post Graduate,"Rs 9,12,93,920  ~ 9 Crore+",Rs 0  ~
825,Arvind Shamrao Lillore,WARDHA,IND,0,Others,,
826,Arvind Shivaji Tandekar,RAMTEK (SC),IND,0,10th Pass,Nil,"Rs 1,68,000  ~ 1 Lacs+"
827,Arvind Sita Damor,BANSWARA (ST),INC,0,Graduate,"Rs 36,29,030  ~ 36 Lacs+","Rs 1,35,512  ~ 1 Lacs+"
828,Arvinder Kumar,PATIALA,IND,0,5th Pass,,
829,Arwinder Singh,FIROZPUR,IND,0,12th Pass,"Rs 10,46,000  ~ 10 Lacs+",Rs 0  ~
830,Aryanraje Kisanrao Shinde,OSMANABAD,Rashtriya Samaj Dal (R),0,Graduate Professional,Nil,Rs 0  ~
831,Asadi Venkatadri,RAJAMPET,IND,0,12th Pass,,
832,Asaduddin Owaisi,HYDERABAD,All India Majlis-E-Ittehadul Muslimeen,5,Graduate Professional,"Rs 23,87,66,044  ~ 23 Crore+","Rs 7,05,00,000  ~ 7 Crore+"
833,Asgar A Mohin.S.M.,BANGALORE SOUTH,IND,0,12th Pass,"Rs 87,02,000  ~ 87 Lacs+",Rs 0  ~
834,Asha Devi,BARABANKI (SC),Swatantrata Abhivyakti Party,0,8th Pass,,
835,Asha Kumari Runda,SINGHBHUM (ST),IND,0,Post Graduate,"Rs 71,000  ~ 71 Thou+",Rs 0  ~
836,Ashavant Sahoo,BILASPUR,Bhartiya Shakti Chetna Party,0,Post Graduate,"Rs 42,24,000  ~ 42 Lacs+","Rs 13,29,248  ~ 13 Lacs+"
837,Ashis Das,BAHARAMPUR,IND,0,12th Pass,,
838,Ashish Bhaurao Sarode,RAMTEK (SC),Bhim Sena,0,Others,"Rs 50,000  ~ 50 Thou+",Rs 0  ~
839,Ashish Bhuimali,JANGIPUR,IND,0,8th Pass,"Rs 1,26,700  ~ 1 Lacs+",Rs 0  ~
840,Ashish Dhyani,HARIDWAR,IND,0,Post Graduate,,
841,Ashish Dubey,JABALPUR,BJP,0,Graduate Professional,"Rs 35,18,56,860  ~ 35 Crore+","Rs 1,35,29,284  ~ 1 Crore+"
842,Ashish Gangwar,BAREILLY,IND,0,Graduate Professional,"Rs 1,10,30,671  ~ 1 Crore+",Rs 0  ~
843,Ashish Kumar,KODARMA,Right to Recall Party,0,Graduate,,
844,Ashish Kumar,PILIBHIT,IND,0,Post Graduate,"Rs 14,13,000  ~ 14 Lacs+",Rs 0  ~
845,Ashish Kumar Tiwari,RAIPUR,Aap Sabki Apni Party,1,Graduate,"Rs 1,30,000  ~ 1 Lacs+",Rs 0  ~
846,Ashish Lekhiram Izankar,WARDHA,Vidarbha Rajya Aghadi,0,Others,,
847,Ashish Yogi,KOTA,Ekam Sanatan Bharat Dal,0,Graduate Professional,"Rs 7,77,911  ~ 7 Lacs+",Rs 0  ~
848,Ashok,HINDUPUR,SUCI(C),0,10th Pass,"Rs 22,09,615  ~ 22 Lacs+","Rs 10,000  ~ 10 Thou+"
849,Ashok Anand Gali,GUNTUR,IND,0,Graduate Professional,,
850,Ashok Appaya Appugol,BELGAUM,BSP,0,12th Pass,"Rs 1,56,47,112  ~ 1 Crore+","Rs 9,00,000  ~ 9 Lacs+"
851,Ashok Baburao Jadhav,RAVER,Peoples Party of India (Democratic),0,Graduate Professional,"Rs 3,44,90,000  ~ 3 Crore+",Rs 0  ~
852,Ashok Baudh,SATNA,IND,0,Graduate,,
853,Ashok Bhagoji Thorat,BEED,Bahujan Maha Party,0,8th Pass,"Rs 6,50,000  ~ 6 Lacs+",Rs 0  ~
854,Ashok Bhiku Bahadare,BHIWANDI,Sanyukt Bharat Paksh,0,10th Pass,"Rs 2,38,45,609  ~ 2 Crore+",Rs 0  ~
855,Ashok Dnyandev Waghmode,MADHA,IND,0,5th Pass,,
856,Ashok Gangaram Pawar,RATNAGIRI - SINDHUDURG,Bahujan Mukti Party,0,8th Pass,"Rs 16,38,600  ~ 16 Lacs+","Rs 10,75,000  ~ 10 Lacs+"
857,Ashok Gupta,BALLIA,IND,0,10th Pass,"Rs 4,04,500  ~ 4 Lacs+",Rs 0  ~
858,Ashok Jain,DURG,IND,0,12th Pass,,
859,Ashok Jangra,GURGAON,IND,0,Graduate,"Rs 2,25,13,482  ~ 2 Crore+","Rs 98,21,000  ~ 98 Lacs+"
860,Ashok Kandary,JAYNAGAR (SC),BJP,0,Graduate Professional,"Rs 20,01,52,336  ~ 20 Crore+",Rs 0  ~
861,Ashok Kataria,KARNAL,Samst Samaj Party,0,10th Pass,,
862,Ashok Kisanrao Thorat,AKOLA,IND,0,8th Pass,"Rs 1,06,50,000  ~ 1 Crore+",Rs 0  ~
863,Ashok Kumar,ERODE,AIADMK,1,Post Graduate,"Rs 6,62,46,87,500  ~ 662 Crore+","Rs 12,00,000  ~ 12 Lacs+"
864,Ashok Kumar,JAMSHEDPUR,Peoples Party of India (Democratic),0,12th Pass,,
865,Ashok Kumar,KARNAL,IND,0,Graduate,"Rs 7,00,000  ~ 7 Lacs+",Rs 0  ~
866,Ashok Kumar,NORTH EAST DELHI,BSP,0,Graduate Professional,"Rs 6,92,04,858  ~ 6 Crore+",Rs 0  ~
867,Ashok Kumar,HAJIPUR (SC),Samata Party,0,10th Pass,,
868,Ashok Kumar,ROHTAK,IND,0,12th Pass,"Rs 1,32,75,471  ~ 1 Crore+","Rs 11,50,000  ~ 11 Lacs+"
869,Ashok Kumar,ETAH,IND,2,Graduate,"Rs 1,59,29,248  ~ 1 Crore+",Rs 0  ~
870,Ashok Kumar Gupta,SATNA,Bhartiya Shakti Chetna Party,0,12th Pass,,
871,Ashok Kumar Gupta,CHANDNI CHOWK,IND,0,12th Pass,"Rs 8,49,773  ~ 8 Lacs+","Rs 3,50,000  ~ 3 Lacs+"
872,Ashok Kumar Jakhu,JALANDHAR (SC),IND,0,Illiterate,"Rs 25,000  ~ 25 Thou+",Rs 0  ~
873,Ashok Kumar Kannaujiya,ROBERTSGANJ (SC),CPI,0,Graduate Professional,,
874,Ashok Kumar M,VIRUDHUNAGAR,Bharatiya Praja Aikyata Party,0,Graduate Professional,"Rs 3,55,000  ~ 3 Lacs+","Rs 2,00,000  ~ 2 Lacs+"
875,Ashok Kumar Mamba,HYDERABAD,Maa Telangana Party,0,Graduate Professional,"Rs 6,80,000  ~ 6 Lacs+",Rs 0  ~
876,Ashok Kumar Pandey,UNNAO,BSP,0,Post Graduate,,
877,Ashok Kumar Paswan,GAYA (SC),IND,1,Post Graduate,"Rs 2,34,153  ~ 2 Lacs+",Rs 0  ~
878,Ashok Kumar Rawat,MISRIKH (SC),BJP,0,Post Graduate,"Rs 12,96,70,318  ~ 12 Crore+","Rs 2,48,61,056  ~ 2 Crore+"
879,Ashok Kumar Sing,MAYURBHANJ (ST),IND,0,Post Graduate,,
880,Ashok Kumar Yadav,MADHUBANI,BJP,2,Doctorate,"Rs 5,85,83,773  ~ 5 Crore+","Rs 1,02,24,706  ~ 1 Crore+"
881,Ashok L Vaghela,SABARKANTHA,IND,0,8th Pass,"Rs 70,67,038  ~ 70 Lacs+","Rs 9,32,000  ~ 9 Lacs+"
882,Ashok Mahadeorao Nete,GADCHIROLI - CHIMUR (ST),BJP,0,12th Pass,,
883,Ashok Mishra,NORTH EAST DELHI,IND,0,Graduate Professional,"Rs 2,50,01,824  ~ 2 Crore+","Rs 28,95,000  ~ 28 Lacs+"
884,Ashok P Hanaji,BELGAUM,IND,0,12th Pass,"Rs 23,20,000  ~ 23 Lacs+","Rs 60,000  ~ 60 Thou+"
885,Ashok Palajibhai Rathod,SURENDRANAGAR,IND,0,10th Pass,,
886,Ashok Panchika,KARIMNAGAR,Social Justice Party of India,0,Graduate,"Rs 1,27,000  ~ 1 Lacs+",Rs 0  ~
887,Ashok Pandurang Rathod,HINGOLI,IND,0,Illiterate,"Rs 4,00,000  ~ 4 Lacs+",Rs 0  ~
888,Ashok Paswan,AKBARPUR,Sabhi Jan Party,1,Post Graduate,,
889,Ashok Paswan,KANPUR,Sabhi Jan Party,1,Post Graduate,"Rs 92,57,950  ~ 92 Lacs+",Rs 0  ~
890,Ashok Pawar,RAJGARH,Samata Samadhan Party,1,12th Pass,"Rs 24,10,000  ~ 24 Lacs+","Rs 6,00,000  ~ 6 Lacs+"
891,Ashok Prashar Pappi,LUDHIANA,AAP,0,5th Pass,,
892,Ashok Priyadarshan S,TIRUVALLUR (SC),Desiya Makkal Sakthi Katchi,0,Post Graduate,"Rs 50,000  ~ 50 Thou+",Rs 0  ~
893,Ashok Purkait,MATHURAPUR (SC),BJP,1,Post Graduate,"Rs 72,49,000  ~ 72 Lacs+","Rs 16,07,557  ~ 16 Lacs+"
894,Ashok Ramchandra Alhat,SHIRDI (SC),IND,0,Graduate,,
895,Ashok Rana,JABALPUR,Rashtra Nirman Party,1,Graduate,"Rs 3,09,65,000  ~ 3 Crore+",Rs 0  ~
896,Ashok Ranaji Rathod,CHANDRAPUR,Jay Vidarbha Party,0,12th Pass,"Rs 2,70,12,522  ~ 2 Crore+","Rs 15,00,000  ~ 15 Lacs+"
897,Ashok Saraiya,MANDLA (ST),IND,0,10th Pass,,
898,Ashok Sehra,SIKAR,Ambedkarite Party of India,0,Post Graduate,"Rs 85,25,500  ~ 85 Lacs+",Rs 0  ~
899,Ashok Singh,JAUNPUR,Samaj Vikas Kranti Party,2,Graduate,"Rs 9,31,36,000  ~ 9 Crore+",Rs 0  ~
900,Ashok Sukhdev Hinge,BEED,Vanchit Bahujan Aaghadi,3,Post Graduate,,
901,Ashok Talari,ZAHIRABAD,IND,0,10th Pass,"Rs 20,73,044  ~ 20 Lacs+","Rs 1,73,000  ~ 1 Lacs+"
902,Ashok Tanwar,SIRSA (SC),BJP,1,Doctorate,"Rs 6,44,96,209  ~ 6 Crore+","Rs 76,73,503  ~ 76 Lacs+"
903,Ashok Tiwary,ARRAH,IND,0,Graduate,,
904,Ashok Waman Hiwale,BULDHANA,IND,0,Others,"Rs 25,45,356  ~ 25 Lacs+","Rs 1,02,000  ~ 1 Lacs+"
905,Ashoka Chakravarthi,CHITRADURGA (SC),BSP,0,Post Graduate,"Rs 71,92,000  ~ 71 Lacs+","Rs 2,10,000  ~ 2 Lacs+"
906,Ashokan. M.,DHARMAPURI,IND,0,8th Pass,,
907,Ashoke Purokait,MATHURAPUR (SC),IND,0,8th Pass,"Rs 6,70,000  ~ 6 Lacs+",Rs 0  ~
908,Ashoke Sardar,MATHURAPUR (SC),IND,0,12th Pass,"Rs 23,500  ~ 23 Thou+",Rs 0  ~
909,Ashpakahmad Ustad,BELGAUM,IND,0,10th Pass,,
910,Ashutosh Kumar,JAHANABAD,Rashtriya Jan Jan Party,2,Graduate,"Rs 1,13,10,738  ~ 1 Crore+","Rs 9,00,000  ~ 9 Lacs+"
911,Ashutosh Mahant,MANDI,IND,0,12th Pass,"Rs 1,54,62,153  ~ 1 Crore+",Rs 0  ~
912,Ashutosh Pathak,DHAURAHRA,Aam Janta Party (India),0,12th Pass,,
913,Ashutosh Singh,GARHWAL,Uttarakhand Kranti Dal,7,Post Graduate,"Rs 1,62,48,483  ~ 1 Crore+","Rs 25,53,020  ~ 25 Lacs+"
914,Ashutosh Vinay Kumar,JAHANABAD,Rashtriya Garib Dal,0,Post Graduate,"Rs 12,24,52,780  ~ 12 Crore+","Rs 19,52,961  ~ 19 Lacs+"
915,Ashwani,SONIPAT,IND,0,Post Graduate,,
916,Ashwani Rajak,BILASPUR,BSP,0,10th Pass,"Rs 49,20,000  ~ 49 Lacs+","Rs 20,67,577  ~ 20 Lacs+"
917,Ashwini Amol Kendre,KALYAN,IND,1,Graduate,"Rs 30,97,000  ~ 30 Lacs+","Rs 19,57,000  ~ 19 Lacs+"
918,Ashwini Kumar Pathak,MUMBAI SOUTH - CENTRAL,IND,0,Graduate Professional,,
919,Ashwini Pratibha Khairnar,PUNE,IND,1,Graduate Professional,"Rs 48,532  ~ 48 Thou+",Rs 0  ~
920,Asif,WARDHA,IND,1,5th Pass,"Rs 1,42,000  ~ 1 Lacs+",Rs 0  ~
921,Asif Imam,KHAGARIA,Aadarsh Mithila Party,0,Graduate,,
922,Asim Kumar Sarkar,BARDHAMAN PURBA (SC),BJP,5,Literate,"Rs 1,84,16,783  ~ 1 Crore+","Rs 48,44,186  ~ 48 Lacs+"
923,Asim Mandal,MALDAHA DAKSHIN,Jan Sangh Party,0,12th Pass,"Rs 1,31,195  ~ 1 Lacs+",Rs 0  ~
924,Asim Ray,MURSHIDABAD,Bhartiya Lokmat Rashtrwadi Party,0,Graduate,,
925,Asish Kumar Saha,TRIPURA WEST,INC,0,12th Pass,"Rs 44,13,086  ~ 44 Lacs+","Rs 13,72,293  ~ 13 Lacs+"
926,Asit Baran Mahato,PURULIA,Party for Democratic Socialism,0,10th Pass,"Rs 3,49,892  ~ 3 Lacs+",Rs 0  ~
927,Asit Kumar Mal,BOLPUR,AITC,0,Graduate,,
928,Aslam Ainodin Mulla,HATKANANGALE,IND,0,8th Pass,"Rs 31,65,096  ~ 31 Lacs+","Rs 22,29,632  ~ 22 Lacs+"
929,Aslam Isak Bagwan,SHIRUR,Lok Sena Party,2,12th Pass,"Rs 69,76,790  ~ 69 Lacs+","Rs 38,95,760  ~ 38 Lacs+"
930,Aslam Lilgar,CHURU,IND,0,Literate,,
931,Aslam Shah Hasan Shah,BULDHANA,Maharashtra Vikas Aghadi,0,Literate,"Rs 6,75,900  ~ 6 Lacs+","Rs 1,00,000  ~ 1 Lacs+"
932,Asokan. G.,DHARMAPURI,IND,0,Graduate Professional,"Rs 1,02,11,687  ~ 1 Crore+",Rs 0  ~
933,Asokan. R. Dr.,DHARMAPURI,AIADMK,0,Post Graduate,,
934,Asura Balu,BHONGIR,IND,0,Graduate,"Rs 25,000  ~ 25 Thou+",Rs 0  ~
935,Atanu Das,KOLKATA DAKSHIN,IND,0,Graduate Professional,"Rs 26,41,700  ~ 26 Lacs+","Rs 4,70,519  ~ 4 Lacs+"
936,Atasi Biswas,DARJEELING,Kisan Mazdoor Sangharsh Party,0,10th Pass,,
937,Atchiyya Naidu Samireddy,VIZIANAGARAM,SP,0,12th Pass,"Rs 84,70,863  ~ 84 Lacs+","Rs 7,28,770  ~ 7 Lacs+"
938,Ather Jamal Lari,VARANASI,BSP,1,Graduate,"Rs 1,99,66,107  ~ 1 Crore+","Rs 7,60,000  ~ 7 Lacs+"
939,Athidhi,ARAKU (ST),IND,0,Graduate,,
940,Athisayam V,TIRUNELVELI,IND,10,8th Pass,"Rs 4,00,500  ~ 4 Lacs+",Rs 0  ~
941,Athram Sakku,ADILABAD (ST),BRS,47,10th Pass,"Rs 1,87,98,583  ~ 1 Crore+",Rs 0  ~
942,Athram Suguna,ADILABAD (ST),INC,49,Post Graduate,,
943,Ati Anjaneyulu,MEDAK,IND,0,Graduate,"Rs 4,40,200  ~ 4 Lacs+","Rs 1,14,925  ~ 1 Lacs+"
944,Atithi Khanderao Suryvanshi,LATUR (SC),Swarajya Shakti Sena,0,12th Pass,"Rs 99,000  ~ 99 Thou+",Rs 0  ~
945,Atma Ram Bishnoi,HISAR,IND,0,12th Pass,,
946,Atma Ram Gujarati,BIKANER (SC),IND,0,10th Pass,"Rs 20,10,000  ~ 20 Lacs+",Rs 0  ~
947,Atmaram Supkar,SAMBALPUR,IND,0,10th Pass,"Rs 9,19,93,345  ~ 9 Crore+",Rs 0  ~
948,Atul,FARIDABAD,IND,2,10th Pass,,
949,Atul Chandra Bauri,BOLPUR,IND,1,10th Pass,"Rs 6,82,793  ~ 6 Lacs+",Rs 0  ~
950,Atul Gamechi,VADODARA,IND,1,12th Pass,"Rs 20,54,654  ~ 20 Lacs+","Rs 3,97,058  ~ 3 Lacs+"
951,Atul Garg,GHAZIABAD,BJP,0,12th Pass,,
952,Atul Raina,JAMMU,IND,0,Post Graduate,"Rs 6,94,337  ~ 6 Lacs+",Rs 0  ~
953,Aurangjeb,GHAZIABAD,IND,0,12th Pass,"Rs 1,15,81,000  ~ 1 Crore+",Rs 0  ~
